Sentence,time,EventType,Polarity,Labeled
"These devices, which measure only 3mm at their narrowest points, are expected to spark consumer excitement about the PC market once again -- and cost dramatically less than Apple's Macbook Air.","Mon, Jan 9 2012 12:54 PM EST. ",market_prediction,,"<P_START/><S_START/><DATE>Mon, Jan 9 2012 12:54 PM EST</DATE>.<S_END/> <S_START/>These devices, which measure <QUANTITY>only 3mm</QUANTITY> at their narrowest points, are expected to spark consumer <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>excitement</POS_FIN_WORD></SLOT> about the PC market</EVENT> once again -- and cost dramatically less than <STOCK>Apple</STOCK>'s <ORG>Macbook Air</ORG>.<S_END/><P_END/>"
" It was another small, but positive, sign that small business is feeling more confident about the economy.","Tue, Jan 10 2012 8:58 AM EST.",market_prediction,,"<P_START/><S_START/><DATE>Tue, Jan 10 2012 8:58 AM EST</DATE>.<S_END/> <S_START/>It was another small, but <POS_FIN_WORD>positive</POS_FIN_WORD>, sign that small business is feeling more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>confident</POS_FIN_WORD></SLOT> about the economy</EVENT>.<S_END/><P_END/>"
" I'm optimistic about the stock market, so I would not be a gold buyer. -- Larry Kudlow If I had to put my own money on the line, I would probably bet gold does break $2,000.","Wed, Jan 18 2012 9:48 AM EST.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Jan 18 2012 9:48 AM EST</DATE>.<S_END/> <S_START/>I'm <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the stock market</EVENT>, so I would not be a <COMMODITY>gold</COMMODITY> buyer.<S_END/> <S_START/>--<S_END/> <S_START/><PERSON>Larry Kudlow</PERSON><S_END/> <S_START/>If I had to put my own money on the line, I would probably bet <COMMODITY>gold</COMMODITY> does break $<MONEY>2,000</MONEY>.<S_END/><P_END/>"
"Railroad shippers are much more positive about the U.S. economy this year than last, and that could mean a good year for the railroads and the trucking companies that literally piggyback shipments on them.","Wed, Jan 18 2012 12:40 PM EST. ",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Jan 18 2012 12:40 PM EST</DATE>.<S_END/> <S_START/>Railroad shippers are much more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>positive</POS_FIN_WORD></SLOT> about the <GPE>U.S.</GPE> economy</EVENT> <DATE>this year</DATE> than last, and that could mean <DATE>a good year</DATE> for the railroads and the trucking <ORG>companies</ORG> that literally piggyback shipments on them.<S_END/><P_END/>"
" According to a just-released poll, 40 percent of affluent Americans are now optimistic about the U.S. economy, the highest level of optimism in nearly six months.","Wed, Jan 18 2012 3:29 PM EST.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Jan 18 2012 3:29 PM EST</DATE>.<S_END/> <S_START/>According to a just-released poll, <PERCENT>40 percent</PERCENT> of affluent <NORP>Americans</NORP> are now <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the <GPE>U.S.</GPE> economy</EVENT>, the <POS_FIN_WORD>highest</POS_FIN_WORD> level of optimism in <DATE>nearly six months</DATE>.<S_END/><P_END/>"
" Market participants are divided on whether the Federal Reserve will ease again, but have grown somewhat more optimistic about the economy, according to the January CNBC Fed Survey.","Sun, Jan 22 2012 8:42 PM EST.",market_prediction,,"<P_START/><S_START/><ORG>Sun</ORG>, <DATE>Jan 22</DATE> 2012 <TIME>8:42 PM EST</TIME>.<S_END/> <S_START/>Market participants are divided on whether <ORG>the Federal Reserve</ORG> will ease again, but have grown <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Emphasis"" normalized=""weak"">somewhat</SLOT> more <SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the economy</EVENT>, according to the <DATE>January</DATE> <ORG>CNBC Fed Survey</ORG>.<S_END/><P_END/>"
 Morgan Stanley CEO James Gorman told CNBC Wednesday he is more optimistic about the U.S. economy and Europe this year.,"Wed, Jan 25 2012 11:56 AM EST.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Jan 25</DATE> 2012 <TIME>11:56 AM EST</TIME>.<S_END/> <S_START/><STOCK>Morgan Stanley</STOCK> CEO <PERSON>James Gorman</PERSON> told <ORG>CNBC</ORG> <DATE>Wednesday</DATE> <PERSON normalized=""James Gorman"">he</PERSON> is more <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the <GPE>U.S.</GPE> economy</EVENT> and <LOC>Europe</LOC> <DATE>this year</DATE>.<S_END/><P_END/>"
 Home builders are more confident about their market today than they have been in over four years.,"Wed, Feb 15 2012 11:08 AM EST.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Feb 15 2012 11:08 AM EST</DATE>.<S_END/> <S_START/>Home builders are more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>confident</POS_FIN_WORD></SLOT> about their market</EVENT> <DATE>today</DATE> than they have been in <DATE>over four years</DATE>.<S_END/><P_END/>"
"And he is much more positive about the market, telling investors that his fund is reducing its hedge against a potential market crash.","Sun, Feb 19 2012 10:25 AM EST. ",market_prediction,,"<P_START/><S_START/><ORG>Sun</ORG>, <DATE>Feb 19 2012 10:25 AM EST</DATE>.<S_END/> <S_START/>And he is much more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>positive</POS_FIN_WORD></SLOT> about the market</EVENT>, telling investors that his fund is reducing its hedge <NEG_FIN_WORD>against</NEG_FIN_WORD> a potential market crash.<S_END/><P_END/>"
" ""Affordability's never been higher, and I just think they're feeling better about the economy in general and they're out in the market.""","Tue, Feb 28 2012 7:04 PM EST.",market_prediction,,"<P_START/><S_START/><DATE>Tue, Feb 28 2012 7:04 PM EST</DATE>.<S_END/> <S_START/>""Affordability's never been higher, and I just think they're feeling <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>better</POS_FIN_WORD></SLOT> about the economy</EVENT> in general<S_END/> <S_START/>and they're out in the market.""<S_END/><P_END/>"
Traders then heard Bernanke speak more positively about the economy without offering any new guidance on quantitative easing.,"Mon, Mar 26 2012 7:01 PM EDT. ",market_prediction,,"<P_START/><S_START/>Mon, Mar 26 <DATE>2012</DATE> <TIME>7:01 PM EDT</TIME>.<S_END/> <S_START/>Traders then heard <PERSON>Bernanke</PERSON> speak more <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>positively</POS_FIN_WORD></SLOT> about the economy</EVENT> without offering any new guidance on quantitative <NEG_FIN_WORD>easing</NEG_FIN_WORD>.<S_END/><P_END/>"
"And while they are guardedly optimistic about the U.S. economy, the market is likely to scrutinize incoming economic and earnings data for any sign of slowdown in the US economy, they wrote in a note to clients - and that could create short term trading opportunities.","Mon, Apr 9 2012 1:11 PM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Mon, Apr 9 2012 1:11 PM EDT</DATE>.<S_END/> <S_START/>And while they are guardedly <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the <GPE>U.S.</GPE> economy</EVENT>, the market is likely to scrutinize incoming economic and earnings data for any sign of <NEG_FIN_WORD>slowdown</NEG_FIN_WORD> in the <GPE>US</GPE> economy, they wrote in a note to clients - and that could create short term trading <POS_FIN_WORD>opportunities</POS_FIN_WORD>.<S_END/><P_END/>"
" The firm made the call due to results from their first quarter housing survey, which showed that the high-end consumer is more confident versus six months ago about the economy and prefers new homes by a wide margin.","Tue, Apr 10 2012 1:54 PM EDT.",market_prediction,,"<P_START/><S_START/><DATE>Tue, Apr 10 2012</DATE> <TIME>1:54 PM EDT</TIME>.<S_END/> <S_START/>The <ORG>firm</ORG> made the call due to results from their <ORDINAL>first</ORDINAL> quarter housing survey, which showed that the high-end consumer is more <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>confident</POS_FIN_WORD></SLOT> versus <DATE>six months ago</DATE> about the economy</EVENT> and prefers new homes by a wide margin.<S_END/><P_END/>"
"Hopefully this will get people excited about the market, says Detrick, of Schaeffer's Investment Research.","Fri, Apr 13 2012 12:18 PM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Fri, Apr 13 2012 12:18 PM EDT</DATE>.<S_END/> <S_START/>Hopefully this will get people <EVENT type=""market_prediction"" VerbTime=""future""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>excited</POS_FIN_WORD></SLOT> about the market</EVENT>, says <PERSON>Detrick</PERSON>, of <ORG>Schaeffer</ORG>'s <ORG>Investment Research</ORG>.<S_END/><P_END/>"
"With every type of company across the country showing some sort of improvement, We're optimistic about the economy, he said, adding, We see a slow, steady recovery.","Tue, Apr 17 2012 6:11 PM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Tue, Apr 17 2012 6:11 PM EDT</DATE>.<S_END/> <S_START/>With every type of company across the country showing some sort of <POS_FIN_WORD>improvement</POS_FIN_WORD>, We're <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the economy</EVENT>, he said, adding, We see a <NEG_FIN_WORD>slow</NEG_FIN_WORD>, steady recovery.<S_END/><P_END/>"
"Fifty percent are now optimistic about the economy, up 12 percent from the beginning of the year and the highest level in a year, according to a just-released survey.","Fri, Apr 20 2012 5:56 PM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Fri, Apr 20 2012</DATE> <TIME>5:56 PM EDT</TIME>.<S_END/> <S_START/><PERCENT>Fifty percent</PERCENT> are now <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the economy</EVENT>, up <PERCENT>12 percent</PERCENT> from <DATE>the beginning of the year</DATE> and the <POS_FIN_WORD>highest</POS_FIN_WORD> level in <DATE>a year</DATE>, according to a just-released survey.<S_END/><P_END/>"
" Small business owners were more optimistic in April, but compared to a year ago they haven't really moved the needle forward on feeling more confident about the economy.","Tue, May 8 2012 7:36 AM EDT.",market_prediction,,"<P_START/><S_START/><DATE>Tue, May 8 2012</DATE> <PERSON>7:36 AM EDT</PERSON>.<S_END/> <S_START/>Small business owners were more <POS_FIN_WORD>optimistic</POS_FIN_WORD> in <DATE>April</DATE>, but compared to <DATE>a year ago</DATE> they haven't really moved the needle forward on feeling more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>confident</POS_FIN_WORD></SLOT> about the economy</EVENT>.<S_END/><P_END/>"
Americans are becoming more confident about their economy on the expectation that the Federal Reserve will not raise interest rates until late 2014.,"Mon, May 21 2012 6:20 AM EDT. ",market_prediction,,"<P_START/><S_START/>Mon, <DATE>May 21 2012</DATE> <TIME>6:20 AM EDT</TIME>.<S_END/> <S_START/><NORP>Americans</NORP> are becoming more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>confident</POS_FIN_WORD></SLOT> about <NORP normalized=""Americans"">their</NORP> economy</EVENT> on the expectation that <ORG>the Federal Reserve</ORG> will not raise interest rates until <DATE>late 2014</DATE>.<S_END/><P_END/>"
"In fact, Baker remains optimistic about the industry due to ""cost harmonization, return-focused managements, continued supply discipline and potential consolidation.""","Wed, Aug 1 2012 11:36 AM EDT. ",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Aug 1 2012 11:36 AM EDT</DATE>.<S_END/> <S_START/>In fact, <PERSON>Baker</PERSON> remains <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the industry</EVENT> due to ""cost harmonization, return-focused managements, continued supply discipline and potential consolidation.""<S_END/><P_END/>"
" Related: Americans More Optimistic About the Economy, Poll Shows: Are You?","Mon, Oct 1 2012 9:10 AM EDT.",market_prediction,,"<P_START/><S_START/><DATE>Mon, Oct 1 2012 9:10 AM EDT</DATE>.<S_END/> <S_START/>Related:<S_END/> <S_START/><NORP>Americans</NORP> More <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>Optimistic</POS_FIN_WORD></SLOT> About the Economy</EVENT>, Poll Shows:<S_END/> <S_START/>Are You?<S_END/><P_END/>"
" (Read more: ) Generally speaking, the affluent are becoming slightly more optimistic about the economy.","Tue, Oct 2 2012 10:03 AM EDT.",market_prediction,,"<P_START/><S_START/><DATE>Tue, Oct 2 2012 10:03 AM EDT</DATE>.<S_END/> <S_START/>(Read more: )<S_END/> <S_START/>Generally speaking, the affluent are becoming slightly more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the economy</EVENT>.<S_END/><P_END/>"
"The poll found that 43 percent are optimistic about the U.S. economy, while 50 percent are optimistic about their personal prospects.","Tue, Oct 2 2012 10:03 AM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Tue, Oct 2 2012 10:03 AM EDT</DATE>.<S_END/> <S_START/>The poll found that <PERCENT>43 percent</PERCENT> are <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the <GPE>U.S.</GPE> economy</EVENT>, while <PERCENT>50 percent</PERCENT> are <POS_FIN_WORD>optimistic</POS_FIN_WORD> about their personal prospects.<S_END/><P_END/>"
"Positive feelings about the economy, which voters by a wide margin call the most important issue in the election, also have grown. ( Read More : Why Democrats Are Feeling Better About the Economy .) By 44 percent to 13 percent, voters predict the economy will get better over the next year rather than worse.","Tue, Oct 2 2012 6:30 PM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Tue, Oct 2 2012 6:30 PM EDT</DATE>.<S_END/> <S_START/><POS_FIN_WORD>Positive</POS_FIN_WORD> feelings about the economy, which voters by a wide margin call the most important issue in the election, also have grown.<S_END/> <S_START/>( Read More : Why <ORG>Democrats</ORG> Are Feeling <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>Better</POS_FIN_WORD></SLOT> About the Economy</EVENT> .)<S_END/> <S_START/>By <PERCENT>44 percent to 13 percent</PERCENT>, voters predict the economy will get <POS_FIN_WORD>better</POS_FIN_WORD> over <DATE>the next year</DATE> rather than <NEG_FIN_WORD>worse</NEG_FIN_WORD>.<S_END/><P_END/>"
"This is because the traffic gridlock tells a story that official data don't: that the Chinese consumer is still confident about the economy, spending and going on holidays, even as the headline GDP figure slows and stock prices fall.","Thu, Oct 4 2012 2:14 AM EDT. ",market_prediction,,"<P_START/><S_START/><GPE>Thu</GPE>, <DATE>Oct 4 2012 2:14</DATE> <TIME>AM EDT</TIME>.<S_END/> <S_START/>This is because the traffic gridlock tells a story that official data don't: that the <NORP>Chinese</NORP> consumer is still <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>confident</POS_FIN_WORD></SLOT> about the economy</EVENT>, spending and going on holidays, even as the headline <TICKER>GDP</TICKER> figure slows and stock prices fall.<S_END/><P_END/>"
"The latest government data has shown a resilient U.S. consumer, one who has even become more optimistic about the job market and the economy.","Thu, Oct 4 2012 1:38 PM EDT. ",market_prediction,,"<P_START/><S_START/><GPE>Thu</GPE>, <DATE>Oct 4 2012</DATE> <TIME>1:38 PM EDT</TIME>.<S_END/> <S_START/>The <NEG_FIN_WORD>latest</NEG_FIN_WORD> government data has shown a resilient <GPE>U.S.</GPE> consumer, one who has even become more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the job market</EVENT> and the economy.<S_END/><P_END/>"
consumer sentiment unexpectedly rose to its highest level in five years in October as consumers became more optimistic about the overall economy.,"Fri, Oct 12 2012 11:52 AM EDT. U.S. ",market_prediction,,"<P_START/><S_START/><DATE>Fri, Oct 12 2012 11:52 AM EDT</DATE>.<S_END/> <S_START/><GPE>U.S.</GPE> consumer sentiment <NEG_FIN_WORD>unexpectedly</NEG_FIN_WORD> rose to its <POS_FIN_WORD>highest</POS_FIN_WORD> level in <DATE>five years</DATE> in <DATE>October</DATE> as consumers became more <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the overall economy</EVENT>.<S_END/><P_END/>"
"Skepticism aside, Mauboussin said Legg Mason remains optimistic about the stock market and the economy.","Wed, Nov 14 2012 11:02 AM EST. ",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Nov 14 2012</DATE> <TIME>11:02 AM EST</TIME>.<S_END/> <S_START/>Skepticism aside, <ORG>Mauboussin</ORG> said <PERSON>Legg Mason</PERSON> remains <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the stock market</EVENT> and the economy.<S_END/><P_END/>"
"So if you're not excited about that, how can you be excited about the market, Freeze said.","Mon, Nov 19 2012 2:18 PM EST. ",market_prediction,,"<P_START/><S_START/><DATE>Mon, Nov 19 2012</DATE> <TIME>2:18 PM EST</TIME>.<S_END/> <S_START/>So if you're not <POS_FIN_WORD>excited</POS_FIN_WORD> about that, how can you be <EVENT type=""market_prediction"" VerbTime=""modal""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>excited</POS_FIN_WORD></SLOT> about the market</EVENT>, <ORG>Freeze</ORG> said.<S_END/><P_END/>"
European investors are unloading their gold holdings as they become more confident about their own economies.,"Thu, Dec 6 2012 12:46 PM EST. ",market_prediction,,"<P_START/><S_START/><GPE>Thu</GPE>, Dec 6 2012 <TIME>12:46 PM EST</TIME>.<S_END/> <S_START/><NORP>European</NORP> investors are unloading their <COMMODITY>gold</COMMODITY> holdings as they become more <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>confident</POS_FIN_WORD></SLOT> about their own economies</EVENT>.<S_END/><P_END/>"
" The nation's home builders continue to feel much better about their industry, but the dramatic gains seen through the summer and fall appear to be moderating.","Tue, Dec 18 2012 10:00 AM EST.",market_prediction,,"<P_START/><S_START/><DATE>Tue, Dec 18 2012 10:00 AM EST</DATE>.<S_END/> <S_START/>The nation's home builders continue to feel much <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>better</POS_FIN_WORD></SLOT> about their industry</EVENT>, but the dramatic <POS_FIN_WORD>gains</POS_FIN_WORD> seen through <DATE>the summer</DATE> and fall appear to be moderating.<S_END/><P_END/>"
"Consumer sentiment slipped in December but was not far from the year's highs, suggesting Americans were guardedly optimistic about the economy in the holiday season.","Fri, Dec 22 2006 10:42 AM EST. ",market_prediction,,"<P_START/><S_START/><DATE>Fri, Dec 22 2006</DATE> <TIME>10:42 AM EST</TIME>.<S_END/> <S_START/>Consumer sentiment slipped in <DATE>December</DATE> but was not far from the <DATE>year</DATE>'s highs, suggesting <NORP>Americans</NORP> were guardedly <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the economy in <SLOT name=""Date""><DATE>the holiday season</DATE></SLOT></EVENT>.<S_END/><P_END/>"
 So we're still constructive about the market.,"Wed, Mar 7 2007 4:19 PM EST.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Mar 7 2007</DATE> <TIME>4:19 PM EST</TIME>.<S_END/> <S_START/>So we're still <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>constructive</POS_FIN_WORD></SLOT> about the market</EVENT>.<S_END/><P_END/>"
"In the only economic news of the day, the monthly sentiment index released by the National Association of Home Builders showed builders were less optimistic about the housing market in March.","Mon, Mar 19 2007 4:13 PM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Mon, Mar 19 2007</DATE> <TIME>4:13 PM EDT</TIME>.<S_END/> <S_START/>In the only economic news of <DATE>the day</DATE>, the <DATE>monthly</DATE> sentiment index released by <ORG>the National Association of Home Builders</ORG> showed builders were <EVENT type=""market_prediction"" VerbTime=""past"">less <SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the housing market in <SLOT name=""Date""><DATE>March</DATE></SLOT></EVENT>.<S_END/><P_END/>"
